key,value
abutters,commercial/ industrial/ mixed/ residential/ retail etc.
aerialway,cable_car
aerialway,gondola
aerialway,mixed_lift
aerialway,chair_lift
aerialway,drag_lift
aerialway,t-bar
aerialway,j-bar
aerialway,platter
aerialway,rope_tow
aerialway,magic_carpet
aerialway,zip_line
aerialway,goods
aerialway,pylon
aerialway,station
aeroway,aerodrome
aeroway,apron
aeroway,gate
aeroway,hangar
aeroway,helipad
aeroway,heliport
aeroway,navigationaid
aeroway,runway
aeroway,spaceport
aeroway,taxiway
aeroway,terminal
aeroway,windsock
amenity,bar
amenity,bbq
amenity,biergarten
amenity,cafe
amenity,drinking_water
amenity,fast_food
amenity,food_court
amenity,ice_cream
amenity,pub
amenity,restaurant
amenity,college
amenity,driving_school
amenity,kindergarten
amenity,language_school
amenity,library
amenity,toy_library
amenity,music_school
amenity,school
amenity,university
amenity,bicycle_parking
amenity,bicycle_repair_station
amenity,bicycle_rental
amenity,boat_rental
amenity,boat_sharing
amenity,bus_station
amenity,car_rental
amenity,car_sharing
amenity,car_wash
amenity,vehicle_inspection
amenity,charging_station
amenity,ferry_terminal
amenity,fuel
amenity,grit_bin
amenity,motorcycle_parking
amenity,parking
amenity,parking_entrance
amenity,parking_space
amenity,taxi
amenity,atm
amenity,bank
amenity,bureau_de_change
amenity,baby_hatch
amenity,clinic
amenity,dentist
amenity,doctors
amenity,hospital
amenity,nursing_home
amenity,pharmacy
amenity,social_facility
amenity,veterinary
amenity,arts_centre
amenity,brothel
amenity,casino
amenity,cinema
amenity,community_centre
amenity,fountain
amenity,gambling
amenity,nightclub
amenity,planetarium
amenity,public_bookcase
amenity,social_centre
amenity,stripclub
amenity,studio
amenity,swingerclub
amenity,theatre
amenity,animal_boarding
amenity,animal_shelter
amenity,baking_oven
amenity,bench
amenity,childcare
amenity,clock
amenity,conference_centre
amenity,courthouse
amenity,crematorium
amenity,dive_centre
amenity,embassy
amenity,fire_station
amenity,firepit
amenity,give_box
amenity,grave_yard
amenity,gym
amenity,hunting_stand
amenity,internet_cafe
amenity,kitchen
amenity,kneipp_water_cure
amenity,marketplace
amenity,monastery
amenity,photo_booth
amenity,place_of_worship
amenity,police
amenity,post_box
amenity,post_depot
amenity,post_office
amenity,prison
amenity,public_bath
amenity,public_building
amenity,ranger_station
amenity,recycling
amenity,sanitary_dump_station
amenity,sauna
amenity,shelter
amenity,shower
amenity,telephone
amenity,toilets
amenity,townhall
amenity,vending_machine
amenity,waste_basket
amenity,waste_disposal
amenity,waste_transfer_station
amenity,watering_place
amenity,water_point
barrier,cable_barrier
barrier,city_wall
barrier,ditch
barrier,fence
barrier,guard_rail
barrier,handrail
barrier,hedge
barrier,kerb
barrier,retaining_wall
barrier,wall
barrier,block
barrier,bollard
barrier,border_control
barrier,bump_gate
barrier,bus_trap
barrier,cattle_grid
barrier,chain
barrier,cycle_barrier
barrier,debris
barrier,entrance
barrier,full-height_turnstile
barrier,gate
barrier,hampshire_gate
barrier,height_restrictor
barrier,horse_stile
barrier,jersey_barrier
barrier,kissing_gate
barrier,lift_gate
barrier,log
barrier,motorcycle_barrier
barrier,rope
barrier,sally_port
barrier,spikes
barrier,stile
barrier,sump_buster
barrier,swing_gate
barrier,toll_booth
barrier,turnstile
barrier,yes
bicycle_road,yes
boundary,aboriginal_lands
boundary,administrative
boundary,maritime
boundary,marker
boundary,national_park
boundary,political
boundary,postal_code
boundary,protected_area
bridge,yes
building,apartments
building,bungalow
building,cabin
building,detached
building,dormitory
building,farm
building,ger
building,hotel
building,house
building,houseboat
building,residential
building,semidetached_house
building,static_caravan
building,terrace
building,commercial
building,industrial
building,kiosk
building,office
building,retail
building,supermarket
building,warehouse
building,cathedral
building,chapel
building,church
building,mosque
building,religious
building,shrine
building,synagogue
building,temple
building,bakehouse
building,civic
building,fire_station
building,government
building,hospital
building,kindergarten
building,public
building,school
building,toilets
building,train_station
building,transportation
building,university
building,barn
building,conservatory
building,cowshed
building,farm_auxiliary
building,greenhouse
building,stable
building,sty
building,grandstand
building,pavilion
building,riding_hall
building,sports_hall
building,stadium
building,hangar
building,hut
building,shed
building,carport
building,garage
building,garages
building,parking
building,digester
building,service
building,transformer_tower
building,water_tower
building,bunker
building,bridge
building,construction
building,roof
building,ruins
building,yes
busway,lane
craft,agricultural_engines
craft,atelier
craft,bakery
craft,basket_maker
craft,beekeeper
craft,blacksmith
craft,boatbuilder
craft,bookbinder
craft,brewery
craft,builder
craft,cabinet_maker
craft,carpenter
craft,carpet_layer
craft,caterer
craft,chimney_sweeper
craft,clockmaker
craft,confectionery
craft,cooper
craft,dental_technician
craft,distillery
craft,door_construction
craft,dressmaker
craft,electronics_repair
craft,embroiderer
craft,electrician
craft,engraver
craft,floorer
craft,gardener
craft,glaziery
craft,grinding_mill
craft,handicraft
craft,hvac
craft,insulation
craft,jeweller
craft,joiner
craft,key_cutter
craft,locksmith
craft,metal_construction
craft,mint
craft,musical_instrument
craft,oil_mill
craft,optician
craft,organ_builder
craft,painter
craft,parquet_layer
craft,photographer
craft,photographic_laboratory
craft,piano_tuner
craft,plasterer
craft,plumber
craft,pottery
craft,printer
craft,printmaker
craft,rigger
craft,roofer
craft,saddler
craft,sailmaker
craft,sawmill
craft,scaffolder
craft,sculptor
craft,shoemaker
craft,signmaker
craft,stand_builder
craft,stonemason
craft,sun_protection
craft,tailor
craft,tiler
craft,tinsmith
craft,toolmaker
craft,turner
craft,upholsterer
craft,watchmaker
craft,water_well_drilling
craft,window_construction
craft,winery
cutting,yes
cycleway,lane
cycleway,opposite
cycleway,opposite_lane
cycleway,track
cycleway,opposite_track
cycleway,share_busway
cycleway,opposite_share_busway
cycleway,shared_lane
driving_side,left/ right
electrified,contact_line railyesno
embankment,yes
embedded_rails,yes / <type of railway>
embedded_rails,yes/<type of railway>
emergency,ambulance_station
emergency,defibrillator
emergency,landing_site
emergency,emergency_ward_entrance
emergency,dry_riser_inlet
emergency,fire_alarm_box
emergency,fire_extinguisher
emergency,fire_hose
emergency,fire_hydrant
emergency,water_tank
emergency,suction_point
emergency,lifeguard
emergency,lifeguard_base
emergency,lifeguard_tower
emergency,lifeguard_platform
emergency,life_ring
emergency,assembly_point
emergency,phone
emergency,siren
emergency,drinking_water
emergency,phone
ford,yes
frequency,number [Hz]
geological,moraine
geological,outcrop
geological,palaeontological_site
highway,motorway
highway,trunk
highway,primary
highway,secondary
highway,tertiary
highway,unclassified
highway,residential
highway,motorway_link
highway,trunk_link
highway,primary_link
highway,secondary_link
highway,tertiary_link
highway,living_street
highway,service
highway,pedestrian
highway,track
highway,bus_guideway
highway,escape
highway,raceway
highway,road
highway,footway
highway,bridleway
highway,steps
highway,corridor
highway,path
highway,cycleway
highway,proposed
highway,construction
highway,bus_stop
highway,crossing
highway,elevator
highway,emergency_access_point
highway,give_way
highway,milestone
highway,mini_roundabout
highway,motorway_junction
highway,passing_place
highway,platform
highway,rest_area
highway,speed_camera
highway,street_lamp
highway,services
highway,stop
highway,traffic_mirror
highway,traffic_signals
highway,trailhead
highway,turning_circle
highway,turning_loop
highway,toll_gantry
historic,aircraft
historic,aqueduct
historic,archaeological_site
historic,battlefield
historic,boundary_stone
historic,building
historic,cannon
historic,castle
historic,castle_wall
historic,church
historic,city_gate
historic,citywalls
historic,farm
historic,fort
historic,gallows
historic,highwater_mark
historic,locomotive
historic,manor
historic,memorial
historic,milestone
historic,monastery
historic,monument
historic,optical_telegraph
historic,pillory
historic,railway_car
historic,ruins
historic,rune_stone
historic,ship
historic,tank
historic,tomb
historic,tower
historic,wayside_cross
historic,wayside_shrine
historic,wreck
historic,yes
ice_road,yes
incline,Number %/°/up/down
junction,roundabout
landuse,commercial
landuse,construction
landuse,industrial
landuse,residential
landuse,retail
landuse,allotments
landuse,farmland
landuse,farmyard
landuse,forest
landuse,meadow
landuse,orchard
landuse,vineyard
landuse,basin
landuse,brownfield
landuse,cemetery
landuse,conservation
landuse,depot
landuse,garages
landuse,grass
landuse,greenfield
landuse,greenhouse_horticulture
landuse,landfill
landuse,military
landuse,peat_cutting
landuse,plant_nursery
landuse,port
landuse,quarry
landuse,railway
landuse,recreation_ground
landuse,religious
landuse,reservoir
landuse,salt_pond
landuse,village_green
landuse,railway
lanes,number
leisure,adult_gaming_centre
leisure,amusement_arcade
leisure,beach_resort
leisure,bandstand
leisure,bird_hide
leisure,common
leisure,dance
leisure,disc_golf_course
leisure,dog_park
leisure,escape_game
leisure,firepit
leisure,fishing
leisure,fitness_centre
leisure,fitness_station
leisure,garden
leisure,golfcourse
leisure,hackerspace
leisure,horse_riding
leisure,ice_rink
leisure,marina
leisure,miniature_golf
leisure,nature_reserve
leisure,park
leisure,picnic_table
leisure,pitch
leisure,playground
leisure,slipway
leisure,sports_centre
leisure,stadium
leisure,summer_camp
leisure,swimming_area
leisure,swimming_pool
leisure,track
leisure,water_park
lit,yes/no
man_made,adit
man_made,beacon
man_made,breakwater
man_made,bridge
man_made,bunker_silo
man_made,carpet_hanger
man_made,chimney
man_made,communications_tower
man_made,crane
man_made,cross
man_made,cutline
man_made,clearcut
man_made,dovecote
man_made,dyke
man_made,embankment
man_made,flagpole
man_made,gasometer
man_made,goods_conveyor
man_made,groyne
man_made,kiln
man_made,lighthouse
man_made,mast
man_made,mineshaft
man_made,monitoring_station
man_made,obelisk
man_made,observatory
man_made,offshore_platform
man_made,petroleum_well
man_made,pier
man_made,pipeline
man_made,pumping_station
man_made,reservoir_covered
man_made,silo
man_made,snow_fence
man_made,snow_net
man_made,storage_tank
man_made,street_cabinet
man_made,surveillance
man_made,survey_point
man_made,telescope
man_made,tower
man_made,wastewater_plant
man_made,watermill
man_made,water_tower
man_made,water_well
man_made,water_tap
man_made,water_works
man_made,wildlife_crossing
man_made,windmill
man_made,works
man_made,yes
military,airfield
military,military
motorroad,yes/no
mountain_pass,yes
mtb:description,Text
mtb:scale,0-6
mtb:scale:imba,0-4
mtb:scale:uphill,0-5
natural,wood
natural,tree_row
natural,tree
natural,scrub
natural,heath
natural,moor
natural,grassland
natural,fell
natural,bare_rock
natural,scree
natural,shingle
natural,sand
natural,mud
natural,water
natural,wetland
natural,glacier
natural,bay
natural,strait
natural,cape
natural,beach
natural,coastline
natural,reef
natural,spring
natural,hot_spring
natural,geyser
natural,blowhole
natural,peak
natural,volcano
natural,valley
natural,peninsula
natural,isthmus
natural,ridge
natural,arete
natural,cliff
natural,saddle
natural,dune
natural,rock
natural,stone
natural,sinkhole
natural,cave_entrance
office,accountant
office,adoption_agency
office,advertising_agency
office,architect
office,association
office,bail_bond_agent
office,charity
office,company
office,consulting
office,coworking
office,diplomatic
office,educational_institution
office,employment_agency
office,energy_supplier
office,engineer
office,estate_agent
office,financial
office,forestry
office,foundation
office,geodesist
office,government
office,graphic_design
office,guide
office,harbour_master
office,insurance
office,it
office,lawyer
office,logistics
office,moving_company
office,newspaper
office,ngo
office,notary
office,political_party
office,private_investigator
office,property_management
office,quango
office,religion
office,research
office,security
office,surveyor
office,tax
office,tax_advisor
office,telecommunication
office,union
office,visa
office,water_utility
office,yes
overtaking,yes/ no/ caution/ both/ forward/ backward
parking:condition,free/ ticket/ disc/ residents/ customers/ private
parking:lane,parallel/ diagonal/ perpendicular/ marked/ no_parking/ no_stopping/ fire_lane.
passing_places,yes
place,country
place,state
place,region
place,province
place,district
place,county
place,municipality
place,city
place,borough
place,suburb
place,quarter
place,neighbourhood
place,city_block
place,plot
place,town
place,village
place,hamlet
place,isolated_dwelling
place,farm
place,allotments
place,continent
place,archipelago
place,island
place,islet
place,square
place,locality
place,sea
place,ocean
power,cable
power,catenary_mast
power,compensator
power,converter
power,generator
power,heliostat
power,insulator
power,line
power,line
public_transport,stop_position
public_transport,platform
public_transport,station
public_transport,stop_area
public_transport,stop_position
public_transport,platform
public_transport,station
railway,abandoned
railway,construction
railway,disused
railway,funicular
railway,light_rail
railway,miniature
railway,monorail
railway,narrow_gauge
railway,preserved
railway,rail
railway,subway
railway,tram
railway,halt
railway,platform
railway,station
railway,subway_entrance
railway,tram_stop
railway,buffer_stop
railway,derail
railway,crossing
railway,level_crossing
railway,signal
railway,switch
railway,railway_crossing
railway,turntable
railway,roundhouse
railway,traverser
railway,wash
railway:track_ref,number
route,bicycle
route,bus
route,canoe
route,detour
route,ferry
route,foot
route,hiking
route,horse
route,inline_skates
route,light_rail
route,mtb
route,piste
route,power
route,railway
route,road
route,running
route,ski
route,subway
route,train
route,tracks
route,tram
route,trolleybus
sac_scale,hiking / mountain_hiking / demanding_mountain_hiking / alpine_hiking / demanding_alpine_hiking / difficult_alpine_hiking
service,alley / driveway / parking_aisle etc.
service,crossover
service,siding
service,spur
service,yard
shop,alcohol
shop,bakery
shop,beverages
shop,brewing_supplies
shop,butcher
shop,cheese
shop,chocolate
shop,coffee
shop,confectionery
shop,convenience
shop,deli
shop,dairy
shop,farm
shop,frozen_food
shop,greengrocer
shop,health_food
shop,ice_cream
shop,organic
shop,pasta
shop,pastry
shop,seafood
shop,spices
shop,tea
shop,wine
shop,water
shop,department_store
shop,general
shop,kiosk
shop,mall
shop,supermarket
shop,wholesale
shop,baby_goods
shop,bag
shop,boutique
shop,clothes
shop,fabric
shop,fashion
shop,fashion_accessories
shop,jewelry
shop,leather
shop,sewing
shop,shoes
shop,tailor
shop,watches
shop,wool
shop,charity
shop,second_hand
shop,variety_store
shop,beauty
shop,chemist
shop,cosmetics
shop,drugstore
shop,erotic
shop,hairdresser
shop,hairdresser_supply
shop,hearing_aids
shop,herbalist
shop,massage
shop,medical_supply
shop,nutrition_supplements
shop,optician
shop,perfumery
shop,tattoo
shop,agrarian
shop,appliance
shop,bathroom_furnishing
shop,doityourself
shop,electrical
shop,energy
shop,fireplace
shop,florist
shop,garden_centre
shop,garden_furniture
shop,gas
shop,glaziery
shop,hardware
shop,houseware
shop,locksmith
shop,paint
shop,security
shop,trade
shop,windows
shop,antiques
shop,bed
shop,candles
shop,carpet
shop,curtain
shop,doors
shop,flooring
shop,furniture
shop,household_linen
shop,interior_decoration
shop,kitchen
shop,lamps
shop,lighting
shop,tiles
shop,window_blind
shop,computer
shop,robot
shop,electronics
shop,hifi
shop,mobile_phone
shop,radiotechnics
shop,vacuum_cleaner
shop,atv
shop,bicycle
shop,boat
shop,car
shop,car_repair
shop,car_parts
shop,caravan
shop,fuel
shop,fishing
shop,free_flying
shop,golf
shop,hunting
shop,jetski
shop,military_surplus
shop,motorcycle
shop,outdoor
shop,scuba_diving
shop,ski
shop,snowmobile
shop,sports
shop,swimming_pool
shop,trailer
shop,tyres
shop,art
shop,collector
shop,craft
shop,frame
shop,games
shop,model
shop,music
shop,musical_instrument
shop,photo
shop,camera
shop,trophy
shop,video
shop,video_games
shop,anime
shop,books
shop,gift
shop,lottery
shop,newsagent
shop,stationery
shop,ticket
shop,bookmaker
shop,cannabis
shop,copyshop
shop,dry_cleaning
shop,e-cigarette
shop,funeral_directors
shop,laundry
shop,money_lender
shop,party
shop,pawnbroker
shop,pet
shop,pet_grooming
shop,pest_control
shop,pyrotechnics
shop,religion
shop,storage_rental
shop,tobacco
shop,toys
shop,travel_agency
shop,vacant
shop,weapons
shop,outpost
sidewalk,both / left / right / no
smoothness,excellent / good / intermediate / bad / very_bad / horrible / very_horrible / impassable
sport,9pin
sport,10pin
sport,american_football
sport,aikido
sport,archery
sport,athletics
sport,australian_football
sport,badminton
sport,bandy
sport,baseball
sport,basketball
sport,beachvolleyball
sport,biathlon
sport,billiards
sport,bmx
sport,bobsleigh
sport,boules
sport,bowls
sport,boxing
sport,bullfighting
